taxon                                    layer cov
Abies alba                               hl    +  
Acer pseudoplatanus                            +  
Adenostyles alpina                             +  
Ajuga reptans                                  r  
Amelanchier ovalis                             +  
Aposeris foetida                               1  
Asplenium ruta-muraria                         r  
Bellidiastrum michelii                         +  
Buphthalmum salicifolium                       +  
Calamagrostis varia                            3  
Carduus defloratus ssp. viridis                +  
Carex alba                                     3  
Carex digitata                                 r  
Carex flacca ssp. flacca                       +  
Cephalanthera longifolia                       r  
Cephalanthera rubra                            r  
Clematis vitalba                               +  
Convallaria majalis ssp. majalis               r  
Cyclamen purpurascens                          +  
Daphne mezereum                                +  
Eupatorium cannabinum                          +  
Euphorbia amygdaloides ssp. amygdaloides       +  
Euphorbia dulcis                               +  
Fagus sylvatica                                +  
Fragaria vesca                                 +  
Frangula alnus                                 r  
Fraxinus excelsior                             +  
Galium anisophyllon                            +  
Galium mollugo s.str.                          +  
Galium sylvaticum s.str.                       +  
Hepatica nobilis                               +  
Hieracium bifidum                              +  
Hieracium murorum                              r  
Knautia maxima ssp. maxima                     +  
Ligustrum vulgare                              r  
Lilium martagon                                +  
Lonicera alpigena                              +  
Lonicera xylosteum                             +  
Maianthemum bifolium                           r  
Melampyrum sylvaticum s.str.                   +  
Melica nutans s.str.                           1  
Mercurialis perennis s.str.                    +  
Origanum vulgare ssp. vulgare                  2m 
Picea abies                                    +  
Pimpinella major var. major                    +  
Polygala chamaebuxus                           1  
Polygonatum verticillatum                      r  
Potentilla caulescens ssp. caulescens          r  
Prenanthes purpurea                            +  
Ranunculus nemorosus                           r  
Rhamnus saxatilis ssp. saxatilis               r  
Rosa pendulina                                 r  
Senecio ovatus ssp. ovatus                     +  
Sesleria caerulea s.str.                       +  
Solidago virgaurea ssp. virgaurea              +  
Sorbus aria s.str.                             +  
Sorbus aucuparia ssp. aucuparia                +  
Vaccinium myrtillus                            +  
Valeriana tripteris                            +  
Vincetoxicum hirundinaria                      r  
Viola collina                                  +  
Viola reichenbachiana                          +  
Ctenidium molluscum s.lat.               ml    +  
Tortella tortuosa                              2a 
Abies alba                               tl1   2a 
Fagus sylvatica                                3  
Abies alba                               tl2   2b 
Acer platanoides                               +  
Fagus sylvatica                                1  
Pinus sylvestris                               1  
 
x: 12.93386, y: 47.71165, accuracy: 10, alliance: Cephalanthero Fagenion, association: NA, bare: 0, comment: entlang Felskante, cov: 96, date: 2015-05-14, expo: SW, hcov: 90, hhl1: 0,7, hhl2: 0,15, hsl: 0, htl1: 14, htl2: 10, location: Untersberg, Naglwand, mcov: 7, observer: R. Kaiser & K. Moosbrugger, plsx: 32, plsy: 8, rock: 5, scov: 0, slope: 20, soil: Renzina, stones: 0, t1cov: 55, t2cov: 15, richness: 66
