BEGIN HEAD
plot                                                   00000000011111111112222222222
                                                       12345678901234567890123456789
block                                                  11111111111111222222222333333
                                                                                    
altitude                                               22222222222222222222222222222
                                                       54444353554435454744127455534
                                                       04020759641169785031992033296
                                                       00005000000000005005000000005
                                                                                    
cov                                                    99889889976788889898899988999
                                                       00050005005000550055000000005
                                                                                    
ph                                                     45445544444564444555644455433
                                                       27589410832427944511502685274
                                                       38522582502842345317638249354
                                                                                    
richness                                               23433332222223323432423233221
                                                       93158369992753520139423740556
                                                                                    
END HEAD
BEGIN TABLE
Carex curvula ssp. curvula                          hl 4432343323433+222+122323323+3
Festuca halleri                                        21+12223+....................
Avenula versicolor                                     +....+31.+..132+2..1.11...2..
Juncus jacquinii                                       +......1+.....1..+.+..1.++2+.
Potentilla aurea                                       11..+..1...2..........++...++
Androsace obtusifolia                                  +.....+....1.+...+......++++.
Veronica bellidioides                                  +.....1......2..+.....2......
Kobresia myosuroides                                   +.+1+12.++...3+122211...2+2..
Silene acaulis s.lat.                                  +12+1+++2+242+.2+2111.+221+..
Festuca pumila                                         +11.+...1+2+.+11.12...2.211..
Pachypleurum mutellinoides                             1.......1.2+..++1++1+.2.++.22
Antennaria carpatica                                   +....1+.++..+1.2.+.....+1.2..
Gentiana verna ssp. verna                              +.....+..+.+.+.....+..+.++++.
Persicaria vivipara                                    2+2++++21+23+..122222.21+1+1.
Poa alpina                                             222.+++1+++21++..+....11++.++
Bartsia alpina                                         +++11++1.+.++++..+..+..++1+..
Homogyne alpina                                        33112++22+++1+1.......21...+.
Salix retusa s.str.                                    232142224.311.......+..++3...
Campanula scheuchzeri                                  +++1+.+....++++..++...1..+..+
Ranunculus montanus s.str.                             ++++.+1..+.++......+..+2...+.
Salix herbacea                                         +....+.1.13...++.+.....++..1.
Agrostis alpina s.str.                                 +1.++2......1..1....1.1+.....
Gnaphalium supinum                                     +......+.+1...........+....2+
Scorzoneroides helvetica                               4........3..+..+..........113
Luzula spicata s.lat.                                  +.+++.+.........++...........
Gentiana acaulis                                       +.+...+..+...+...........+...
Pulsatilla vernalis                                    +.....+..+...+...............
Soldanella minima                                      +......+.....................
Carex caryophyllea                                     +............................
Sesleria caerulea s.str.                               .+.1.++1++++1+2..1222..12+1+.
Anemone baldensis                                      .2+12..+++...................
Soldanella alpina                                      .21++1+.....1................
Anthyllis vulneraria ssp. alpicola                     .++1+.+..+...+...............
Achillea oxyloba                                       .++.++.++.++.................
Phyteuma hemisphaericum                                .+++1..+.+..+.....+..++......
Helianthemum alpestre                                  .++1.+.......+....++1...+....
Minuartia gerardii                                     .+..++......++.+.+++......+..
Carex sempervirens ssp. sempervirens                   .2332.2..+++1.....222.1..12..
Leontodon hispidus s.lat.                              .33233+2..+..+......+2++.1...
Euphrasia minima s.str.                                .+++++.+......++......1..+...
Carex atrata                                           .1+..1..1.2...1..1......11...
Anthoxanthum alpinum                                   .+..+.+......1.....1+......++
Galium anisophyllon                                    .+.++.+......+....+++........
Salix reticulata                                       .1...+..+..+3..........2..1..
Biscutella laevigata s.lat.                            .++++.......+................
Gentiana nivalis                                       .+++....+....................
Selaginella selaginoides                               .+.++..+.....................
Thymus praecox ssp. polytrichus                        .+.++........+...............
Juncus monanthos                                       .+...+.......................
Minuartia sedoides                                     ..+...+.+..+.+++11+....+1....
Dryas octopetala                                       ..1+.2......2.....+.......1..
Arenaria ciliata                                       ..++..........+..++..........
Salix serpyllifolia                                    ..+3.22..41..31.+.......1.3..
Geum montanum                                          ..2...12.1...2........1....1+
Carex firma                                            ..+.+1.....++...........11+..
Hieracium villosum                                     ..++..1..+..........++....+..
Potentilla brauneana                                   ..2..2..+.2..................
Nardus stricta                                         ..+.+......................+1
Festuca norica                                         ..1..........2........2+.....
Achillea clavennae                                     ..+++....................+...
Trollius europaeus                                     ..+................++........
Gentianella rhaetica                                   ..++..................+......
Saxifraga caesia                                       ..+..........................
Deschampsia cespitosa                                  ..+..........................
Carex pauciflora                                       ...++....+.3+..........+..+..
Bellidiastrum michelii                                 ...++........................
Carex ferruginea s.str.                                ...+.........................
Juncus trifidus s.str.                                 ....+.............2.+2.......
Myosotis alpestris                                     ....+........++.11+++..+++.+.
Crepis aurea ssp. aurea                                ....+........................
Gnaphalium hoppeanum                                   ....+........................
Horminum pyrenaicum                                    ....+........................
Carex rupestris                                        .....++..........+1..........
Armeria alpina                                         .....+.+....1...+..+...+.....
Pedicularis rostratocapitata ssp. rostratocapitata     .....+...........++..........
Erigeron uniflorus                                     ......+.+....+..........+.+..
Cetraria islandica ssp. islandica                      ......++1.....211+2.++1.1.+++
Vaccinium gaultherioides                               ......1.............+2....1..
Carduus defloratus s.lat.                              ......+......+...............
Arnica montana                                         ......+......................
Primula minima                                         .......+1.....222.1.22.+22...
Hedysarum hedysaroides ssp. hedysaroides               .......+.........+.++........
Agrostis rupestris                                     .......+.............+.......
Veronica alpina                                        .......++....................
Primula glutinosa                                      ........+......2.......2.....
Pedicularis verticillata                               ........+.......1..++..+.....
Phyteuma globulariifolium                              ........+.....1.........++...
Gentiana bavarica s.str.                               ........+..............+.....
Luzula alpinopilosa s.str.                             .........++1.......1...+...1.
Taraxacum sect. Alpina                                 .........+++.................
Cirsium spinosissimum                                  .........+.................+.
Gentiana brachyphylla                                  ..........+...+..+..+...+....
Soldanella pusilla ssp. alpicola                       ..........+.................+
Saxifraga androsacea                                   ..........++.................
Saxifraga moschata                                     ...........+.....+......+1...
Hornungia alpina ssp. alpina                           ...........+.................
Sibbaldia procumbens                                   ...........+.................
Loiseleuria procumbens                                 ............+.1..+..+2....2..
Hieracium alpinum                                      .............+...............
Lotus corniculatus var. alpicola s.lat.                .............+...............
Primula elatior s.str.                                 .............+...............
Oreochloa disticha                                     ..............+12+11+1.......
Pulsatilla alpina ssp. apiifolia                       ..............+.+..+22.......
Ranunculus alpestris s.str.                            ..............+...+.....+2...
Saxifraga oppositifolia ssp. oppositifolia             ..............+..+......++...
Oxytropis campestris s.lat.                            ..............+........+.....
Cerastium uniflorum                                    ..............+..............
Doronicum glaciale ssp. glaciale                       ..............+..............
Luzula lutea                                           ..............+..............
Pedicularis oederi                                     ...............+.............
Festuca pseudodura                                     ................2..121.......
Lloydia serotina                                       ................22.2.........
Draba aizoides ssp. aizoides                           ................+...++.......
Draba fladnizensis                                     ................+............
Saponaria pumila                                       ................+............
Saxifraga paniculata                                   .................++..........
Saussurea alpina                                       .................+..+........
Saxifraga bryoides                                     .................+...........
Carex aterrima                                         ..................+.+....+...
Dianthus glacialis                                     ..................+.....+....
Oxytropis triflora                                     ..................+..........
Gentiana punctata                                      ...................+........+
Oxytropis sp.                                          ...................+.........
Phyteuma orbiculare s.str.                             ....................+.+......
Antennaria dioica                                      ....................+........
Carex capillaris                                       ....................+........
Doronicum clusii s.lat                                 ....................+........
Nigritella nigra ssp. austriaca                        ....................+........
Parnassia palustris                                    ....................+........
Pinguicula alpina                                      ....................+........
Viola biflora                                          ....................+........
Senecio carniolicus                                    .....................+.......
Leucanthemopsis alpina                                 ......................2+....1
Aster alpinus                                          ......................+......
Primula farinosa                                       ......................+......
Callianthemum coriandrifolium                          ........................+....
Sedum atratum s.lat.                                   ........................+....
Alchemilla pentaphylla                                 ...........................+.
Plantago alpina                                        ...........................+.
Trifolium alpinum                                      ............................+
undetermined bryophyte(s)                           ml .....+..........22....+.+..22
Solorina bispora s.lat.                                .....+.......................
Cladonia symphycarpa                                   .......+1......+.+..+.+.2+.1.
Cladonia arbuscula s.lat.                              ..............1+1+1++21......
Thamnolia vermicularis var. vermicularis               ..............2+++1..+.......
Cladonia pyxidata                                      ..............+.+............
Stereocaulon alpinum s.lat.                            ..............+..+...........
Flavocetraria cucullata                                ................1+1.++.......
Flavocetraria nivalis                                  ................1+1+++.......
Cladonia rangiferina                                   ................+...++.......
Cladonia gracilis                                      ................+............
Solorina saccata                                       .................+...........
Alectoria ochroleuca                                   ..................+..+.......
undetermined lichen(s)                                 ......................+..+...
Peltigera canina                                       ......................+......
END TABLE
