taxon                             layer cov
Agrostis alpina s.str.            hl    2m 
Arctostaphylos alpinus                  +  
Bartsia alpina                          1  
Carex firma                             4  
Carex maritima                          2m 
Crepis jacquinii s.lat.                 1  
Dryas octopetala                        +  
Empetrum nigrum agg.                    +  
Eriophorum angustifolium                1  
Euphrasia salisburgensis s.str.         1  
Galium anisophyllon                     +  
Gentiana clusii ssp. clusii             r  
Juncus trifidus s.str.                  1  
Kobresia simpliciuscula                 2a 
Pedicularis verticillata                +  
Phyteuma orbiculare s.str.              +  
Primula clusiana                        2m 
Ranunculus alpestris s.str.             1  
Salix alpina                            +  
Selaginella selaginoides                +  
Tofieldia pusilla                       1  
Vaccinium vitis-idaea                   +  
Campylium stellatum               ml    1  
Cetraria islandica ssp. islandica       +  
Cladonia arbuscula ssp. mitis           +  
Ditrichum flexicaule                    +  
Fissidens osmundoides                   1  
Hypnum bambergeri                       +  
Vulpicida tubulosus                     +  
 
longitude: 14.049, latitude: 47.6406, cov: 97, t1cov: 0, t2cov: 0, scov: 0, hcov: 95, mcov: 3, htl1: 0, htl2: 0, hsl: 0, hhl1: NA, hhl2: NA, plsx: 8, plsy: 4, expo: SE, slope: 2, rock: NA, bare: NA, stones: NA, date: NA, accuracy: 50, alliance: Caricion firmae, association: NA, soil: NA, comment: unklarer Verlauf der Landesgrenze, aber wohl noch auf oberösterreichischem Gebiet, location: zwischen Gr. Kraxenberg und Mitterberg, richness: 29
